"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2"
708790833,"Existing Customer",42,"M",5,"Uneducated","Unknown","$120K +","Blue",31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217,0.00019094,0.99981
710821833,"Existing Customer",65,"M",1,"Unknown","Married","$40K - $60K","Blue",54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,0.00019751,0.9998
710599683,"Existing Customer",56,"M",1,"College","Single","$80K - $120K","Blue",36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0,4.7799e-05,0.99995
816082233,"Existing Customer",35,"M",3,"Graduate","Unknown","$60K - $80K","Blue",30,5,1,3,8547,1666,6881,1.163,1311,33,2,0.195,9.6126e-05,0.9999
712396908,"Existing Customer",57,"F",2,"Graduate","Married","Less than $40K","Blue",48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,0.00011382,0.99989
714885258,"Existing Customer",44,"M",4,"Unknown","Unknown","$80K - $120K","Blue",37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23,6.3492e-05,0.99994
709967358,"Existing Customer",48,"M",4,"Post-Graduate","Single","$80K - $120K","Blue",36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078,0.00023623,0.99976
753327333,"Existing Customer",41,"M",3,"Unknown","Married","$80K - $120K","Blue",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,0.00014953,0.99985
806160108,"Existing Customer",61,"M",1,"High School","Married","$40K - $60K","Blue",56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,0.00017468,0.99983
709327383,"Existing Customer",45,"F",2,"Graduate","Married","Unknown","Blue",37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994
806165208,"Existing Customer",47,"M",1,"Doctorate","Divorced","$60K - $80K","Blue",42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,5.703e-05,0.99994
708508758,"Attrited Customer",62,"F",0,"Graduate","Married","Less than $40K","Blue",49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,0.99616,0.0038363
784725333,"Existing Customer",41,"M",3,"High School","Married","$40K - $60K","Blue",33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,6.9242e-05,0.99993
811604133,"Existing Customer",47,"F",4,"Unknown","Single","Less than $40K","Blue",36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626,0.00020735,0.99979
789124683,"Existing Customer",54,"M",2,"Unknown","Married","$80K - $120K","Blue",42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,0.00021042,0.99979
771071958,"Existing Customer",41,"F",3,"Graduate","Single","Less than $40K","Blue",28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215,5.7151e-05,0.99994
720466383,"Existing Customer",59,"M",1,"High School","Unknown","$40K - $60K","Blue",46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093,5.0256e-05,0.99995
804424383,"Existing Customer",63,"M",1,"Unknown","Married","$60K - $80K","Blue",56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099,0.00018558,0.99981
718813833,"Existing Customer",44,"F",3,"Uneducated","Single","Unknown","Blue",34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0,0.00012144,0.99988
806624208,"Existing Customer",47,"M",4,"High School","Married","$40K - $60K","Blue",42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285,7.6642e-06,0.99999
778348233,"Existing Customer",53,"M",3,"Unknown","Married","$80K - $120K","Blue",33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658,0.00021834,0.99978
712991808,"Existing Customer",53,"M",2,"Uneducated","Married","$60K - $80K","Blue",48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69,0.00012458,0.99988
709029408,"Existing Customer",41,"M",4,"Graduate","Married","$60K - $80K","Blue",36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282,5.7762e-05,0.99994
788658483,"Existing Customer",53,"F",2,"College","Married","Less than $40K","Blue",38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562,0.00018612,0.99981
787937058,"Existing Customer",58,"M",0,"Graduate","Married","$80K - $120K","Blue",49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135,9.7673e-05,0.9999
715318008,"Existing Customer",55,"F",1,"College","Single","Less than $40K","Blue",36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544,6.2639e-05,0.99994
713962233,"Existing Customer",55,"F",3,"Graduate","Married","Less than $40K","Blue",36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757,0.00019864,0.9998
785432733,"Existing Customer",42,"F",4,"High School","Married","Less than $40K","Gold",36,2,3,3,15433,0,15433,0.865,966,22,1.2,0,0.00035532,0.99964
715190283,"Existing Customer",57,"F",1,"Graduate","Unknown","$40K - $60K","Blue",49,3,3,2,3672,886,2786,1.32,1464,28,0.556,0.241,0.00016883,0.99983
708300483,"Attrited Customer",66,"F",0,"Doctorate","Married","Unknown","Blue",56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,0.9978,0.00219708
827111283,"Existing Customer",45,"M",3,"Graduate","Single","$80K - $120K","Blue",41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018,0.00011811,0.99988
758551608,"Existing Customer",51,"M",2,"Unknown","Married","$40K - $60K","Blue",44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,2.2331e-05,0.99998
773146383,"Existing Customer",50,"F",1,"College","Single","$40K - $60K","Silver",43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145,0.00015785,0.99984
778493808,"Existing Customer",49,"M",3,"High School","Married","$60K - $80K","Blue",37,5,2,1,3906,0,3906,1.214,1756,32,1,0,6.9242e-05,0.99993
720572508,"Existing Customer",38,"F",4,"Graduate","Single","Unknown","Blue",28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209,0.00031726,0.99968
712661433,"Existing Customer",49,"M",4,"Uneducated","Single","$80K - $120K","Blue",30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0,0.00020643,0.99979
789172683,"Existing Customer",56,"M",2,"Doctorate","Married","$60K - $80K","Blue",45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,6.0759e-05,0.99994
738406533,"Existing Customer",59,"M",1,"Doctorate","Married","$40K - $60K","Blue",52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,0.0001546,0.99985
799723908,"Existing Customer",46,"M",3,"High School","Married","$80K - $120K","Blue",40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,0.00030516,0.99969
771490833,"Existing Customer",52,"M",1,"College","Single","$80K - $120K","Blue",40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259,3.031e-05,0.99997
720756708,"Existing Customer",52,"F",3,"Unknown","Married","Less than $40K","Blue",41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,0.00020516,0.99979
779471883,"Attrited Customer",54,"F",1,"Graduate","Married","Less than $40K","Blue",40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972
711525033,"Existing Customer",66,"F",0,"High School","Married","Less than $40K","Blue",54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,0.00018134,0.99982
712813458,"Existing Customer",49,"M",2,"Unknown","Married","$120K +","Blue",36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,4.6151e-05,0.99995
714374133,"Attrited Customer",56,"M",2,"Graduate","Married","$120K +","Blue",36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,0.99671,0.00329379
717891558,"Existing Customer",49,"F",4,"Graduate","Unknown","Less than $40K","Blue",36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667,0.00022797,0.99977
716632758,"Existing Customer",49,"F",3,"Graduate","Single","Less than $40K","Blue",36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843,4.3568e-05,0.99996
768563658,"Existing Customer",56,"M",2,"Uneducated","Married","$40K - $60K","Blue",50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,0.00019683,0.9998
711427458,"Existing Customer",44,"F",5,"Graduate","Married","Unknown","Blue",35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,5.6861e-05,0.99994
714091983,"Existing Customer",42,"M",2,"High School","Single","$60K - $80K","Blue",34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525,0.00035539,0.99964
787584108,"Existing Customer",55,"M",3,"Unknown","Married","$80K - $120K","Blue",47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,0.00021834,0.99978
712030833,"Attrited Customer",48,"M",2,"Graduate","Married","$60K - $80K","Silver",35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,0.99823,0.00177065
711481533,"Existing Customer",39,"M",1,"High School","Divorced","$60K - $80K","Blue",33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211,0.00027604,0.99972
710082708,"Existing Customer",44,"M",4,"Post-Graduate","Single","$120K +","Blue",32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088,0.00026824,0.99973
708155733,"Existing Customer",53,"M",2,"High School","Single","$120K +","Blue",44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111,0.00011065,0.99989
788979258,"Existing Customer",51,"M",4,"Uneducated","Single","$80K - $120K","Silver",38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,0.00015398,0.99985
807986133,"Existing Customer",57,"M",2,"College","Married","$60K - $80K","Blue",52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,0.00029411,0.99971
788730933,"Existing Customer",44,"F",2,"Uneducated","Single","Less than $40K","Blue",20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704,0.00031104,0.99969
711314058,"Existing Customer",49,"M",2,"Graduate","Married","$60K - $80K","Blue",32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,0.00011382,0.99989
717975333,"Existing Customer",50,"M",2,"Doctorate","Married","$80K - $120K","Blue",38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,0.00016471,0.99984
715971108,"Existing Customer",51,"M",4,"Graduate","Single","$120K +","Blue",42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051,0.00020077,0.9998
720096558,"Existing Customer",55,"F",2,"Graduate","Married","Less than $40K","Blue",42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,0.00030251,0.9997
719580033,"Existing Customer",54,"M",1,"Graduate","Unknown","$60K - $80K","Blue",43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698,0.00017969,0.99982
820582308,"Existing Customer",42,"M",5,"Uneducated","Married","$80K - $120K","Blue",37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,0.00012082,0.99988
789973308,"Existing Customer",44,"M",1,"College","Single","$60K - $80K","Blue",35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079,0.00027607,0.99972
712876233,"Existing Customer",53,"M",2,"Graduate","Single","$80K - $120K","Blue",36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287,0.00017987,0.99982
804595158,"Existing Customer",44,"F",4,"Graduate","Single","Less than $40K","Blue",36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36,0.00022797,0.99977
714826758,"Existing Customer",37,"F",3,"Uneducated","Single","Less than $40K","Blue",29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256,0.00023192,0.99977
779058108,"Existing Customer",49,"M",3,"Graduate","Divorced","$60K - $80K","Blue",30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719,5.7151e-05,0.99994
710790258,"Existing Customer",47,"M",2,"Graduate","Married","$80K - $120K","Blue",38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066,0.00017987,0.99982
715623483,"Existing Customer",47,"M",3,"Graduate","Married","$60K - $80K","Blue",37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992
715156383,"Existing Customer",44,"M",1,"Unknown","Unknown","$120K +","Blue",36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044,0.00011743,0.99988
711013983,"Attrited Customer",55,"F",4,"Unknown","Married","$40K - $60K","Blue",45,2,4,3,2158,0,2158,0.585,615,12,0.714,0,0.99763,0.00236635
755420433,"Existing Customer",59,"F",1,"Graduate","Married","Unknown","Blue",52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14,0.00028395,0.99972
794543958,"Existing Customer",53,"M",1,"Graduate","Divorced","$80K - $120K","Blue",35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035,0.00020404,0.9998
716396358,"Existing Customer",52,"M",2,"Graduate","Married","$60K - $80K","Blue",47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619,6.6354e-05,0.99993
715398033,"Existing Customer",53,"M",2,"High School","Single","$120K +","Blue",35,4,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108,6.6728e-05,0.99993
711743883,"Existing Customer",43,"F",3,"Uneducated","Single","Less than $40K","Blue",35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0,0.00020424,0.9998
719720058,"Existing Customer",44,"M",3,"High School","Single","$60K - $80K","Blue",31,4,3,1,12756,837,11919,1.932,1413,14,1.8,0.066,0.00010943,0.99989
778992108,"Existing Customer",57,"M",2,"Unknown","Married","$120K +","Blue",45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0,0.00033251,0.99967
717539808,"Existing Customer",51,"F",2,"High School","Single","Less than $40K","Blue",36,3,2,2,9930,0,9930,0.731,1276,21,1.333,0,0.00011065,0.99989
714070758,"Existing Customer",49,"M",4,"High School","Single","$80K - $120K","Blue",38,4,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062,6.765e-05,0.99993
714107958,"Existing Customer",45,"M",1,"Graduate","Single","$40K - $60K","Blue",36,4,4,3,6576,0,6576,0.579,1465,34,0.619,0,0.00034315,0.99966
789140283,"Existing Customer",53,"M",0,"Graduate","Single","$80K - $120K","Blue",42,5,4,1,2664,2037,627,0.85,1286,29,0.933,0.765,0.0001125,0.99989
715550508,"Existing Customer",45,"F",3,"Unknown","Married","Unknown","Blue",28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963,6.282e-05,0.99994
719712633,"Existing Customer",64,"M",1,"Graduate","Married","Less than $40K","Blue",52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524,0.00034315,0.99966
772629333,"Existing Customer",45,"M",3,"Graduate","Married","$40K - $60K","Blue",35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347,0.00022556,0.99977
720336708,"Existing Customer",53,"M",3,"Doctorate","Married","$40K - $60K","Blue",35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,0.00027008,0.99973
802013583,"Existing Customer",56,"M",3,"College","Married","$120K +","Blue",50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232,4.2358e-05,0.99996
711887583,"Attrited Customer",47,"M",2,"Unknown","Married","$80K - $120K","Blue",37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299,0.997,0.00299743
714778833,"Existing Customer",49,"F",3,"College","Single","Unknown","Blue",43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085,8.0901e-05,0.99992
713843283,"Existing Customer",41,"F",3,"Unknown","Married","Unknown","Silver",34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059,0.00031177,0.99969
779155158,"Existing Customer",53,"M",3,"Graduate","Married","$120K +","Blue",34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43,0.00011811,0.99988
721091583,"Existing Customer",44,"F",2,"Graduate","Single","Less than $40K","Blue",32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62,0.00030251,0.9997
713572683,"Existing Customer",44,"M",3,"High School","Unknown","$60K - $80K","Blue",25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0,6.6935e-05,0.99993
716657058,"Existing Customer",43,"F",4,"Post-Graduate","Married","Less than $40K","Blue",33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111,0.00037329,0.99963
779509983,"Existing Customer",53,"M",2,"Post-Graduate","Single","$120K +","Blue",36,6,1,2,34516,931,33585,0.828,1022,21,1.1,0.027,6.4807e-05,0.99994
717929133,"Existing Customer",44,"M",1,"Uneducated","Married","$60K - $80K","Blue",36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169,0.00018475,0.99982
808284783,"Existing Customer",62,"F",1,"Unknown","Married","Less than $40K","Blue",56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0,7.7559e-06,0.99999
708476808,"Existing Customer",54,"M",4,"Unknown","Divorced","$120K +","Blue",36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058,0.00020735,0.99979
710916408,"Existing Customer",57,"M",4,"Graduate","Married","$60K - $80K","Blue",39,4,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223,6.9589e-05,0.99993
708492558,"Existing Customer",42,"M",3,"Unknown","Married","$60K - $80K","Blue",36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057,0.00034503,0.99965
799825758,"Existing Customer",42,"M",4,"High School","Divorced","$60K - $80K","Blue",36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513,5.6153e-05,0.99994
718619883,"Existing Customer",54,"F",0,"Uneducated","Married","Less than $40K","Blue",36,2,2,2,1494,706,788,1.674,1305,24,3,0.473,0.00010043,0.9999
711844758,"Existing Customer",48,"M",3,"Graduate","Single","$80K - $120K","Blue",35,6,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095,2.1081e-05,0.99998
714798783,"Existing Customer",49,"M",1,"Graduate","Single","$80K - $120K","Blue",36,6,2,2,18886,895,17991,1.826,1235,18,1.571,0.047,0.00010684,0.99989
826762908,"Existing Customer",52,"M",3,"High School","Unknown","$80K - $120K","Blue",48,3,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106,4.2354e-05,0.99996
771894558,"Existing Customer",50,"M",3,"High School","Single","$80K - $120K","Blue",39,4,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156,0.00015942,0.99984
721074183,"Existing Customer",49,"M",1,"Doctorate","Married","$60K - $80K","Blue",36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,0.00032436,0.99968
715259583,"Existing Customer",53,"F",2,"High School","Married","Less than $40K","Blue",44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355,0.0001861,0.99981
718414008,"Existing Customer",50,"M",2,"Graduate","Single","$120K +","Blue",36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03,0.00011382,0.99989
719666283,"Existing Customer",55,"F",1,"Doctorate","Married","Less than $40K","Blue",36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,2.7596e-05,0.99997
714877233,"Existing Customer",53,"M",1,"High School","Married","$80K - $120K","Blue",47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15,0.00010386,0.9999
785387883,"Existing Customer",47,"F",3,"High School","Single","$40K - $60K","Blue",41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407,0.00030516,0.99969
771075258,"Existing Customer",55,"M",2,"College","Single","$120K +","Silver",42,2,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044,0.00015801,0.99984
711318033,"Existing Customer",47,"M",3,"Graduate","Single","$60K - $80K","Blue",36,4,2,2,2926,0,2926,0.676,1304,24,0.846,0,0.00011811,0.99988
783554958,"Existing Customer",58,"M",4,"Graduate","Single","$120K +","Blue",52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0,2.1307e-05,0.99998
720201033,"Attrited Customer",53,"M",2,"Graduate","Married","$80K - $120K","Blue",41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191,0.99447,0.00553
718039683,"Existing Customer",52,"M",2,"High School","Single","$40K - $60K","Blue",45,3,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096,5.3542e-05,0.99995
710806083,"Existing Customer",50,"F",1,"Uneducated","Unknown","Less than $40K","Silver",36,4,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176,9.9255e-05,0.9999
714752208,"Existing Customer",42,"F",1,"Graduate","Married","Less than $40K","Blue",36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83,5.1697e-05,0.99995
822063408,"Existing Customer",43,"M",4,"Unknown","Married","$40K - $60K","Blue",39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412,6.3492e-05,0.99994
714490308,"Existing Customer",57,"M",4,"Graduate","Married","$80K - $120K","Blue",46,3,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086,0.00020077,0.9998
713356833,"Existing Customer",52,"M",1,"Graduate","Married","$80K - $120K","Blue",43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678,0.00014834,0.99985
711402333,"Existing Customer",47,"M",2,"Doctorate","Single","Less than $40K","Blue",37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246,0.00013405,0.99987
708296883,"Existing Customer",44,"F",3,"Graduate","Single","$40K - $60K","Blue",38,3,1,0,11749,788,10961,0.688,1178,27,0.929,0.067,2.1081e-05,0.99998
719154483,"Existing Customer",53,"M",2,"High School","Divorced","$60K - $80K","Blue",36,5,3,2,7753,2100,5653,0.839,991,26,0.733,0.271,0.00017486,0.99983
717721458,"Existing Customer",45,"M",4,"College","Divorced","$60K - $80K","Blue",40,5,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114,2.0715e-05,0.99998
711112683,"Existing Customer",63,"F",1,"College","Married","Unknown","Blue",36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395,0.0001747,0.99983
715674483,"Existing Customer",39,"F",2,"Post-Graduate","Single","Less than $40K","Blue",27,4,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406,0.00013393,0.99987
789322833,"Attrited Customer",48,"F",5,"High School","Married","Less than $40K","Blue",38,1,3,3,8025,0,8025,0.654,673,18,0.8,0,0.99672,0.00328187
789968058,"Existing Customer",51,"M",1,"Unknown","Single","$120K +","Blue",42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258,0.00019751,0.9998
709919283,"Existing Customer",54,"M",4,"Graduate","Married","$80K - $120K","Blue",34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169,0.00018864,0.99981
718744008,"Existing Customer",59,"F",1,"Graduate","Single","Less than $40K","Blue",36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178,0.00017969,0.99982
767712558,"Attrited Customer",59,"M",1,"College","Single","$60K - $80K","Blue",53,2,3,3,14979,0,14979,0.71,530,10,1,0,0.99639,0.00360825
712950783,"Attrited Customer",48,"F",4,"Uneducated","Married","Less than $40K","Blue",38,3,2,3,2732,0,2732,0.76,739,16,0.455,0,0.99518,0.00481999
716104983,"Existing Customer",41,"F",2,"Graduate","Single","Less than $40K","Blue",32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941,0.00017987,0.99982
818839983,"Existing Customer",55,"M",2,"Graduate","Married","$120K +","Blue",50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141,4.1986e-05,0.99996
772288758,"Existing Customer",47,"F",4,"Graduate","Married","Unknown","Blue",36,4,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23,9.7154e-05,0.9999
712350858,"Existing Customer",41,"M",2,"High School","Married","$80K - $120K","Blue",24,4,1,3,9366,1104,8262,0.572,1303,39,0.625,0.118,9.0056e-05,0.99991
711009708,"Existing Customer",40,"M",3,"High School","Single","$80K - $120K","Blue",28,5,1,0,21617,0,21617,1.047,1351,22,0.467,0,2.0494e-05,0.99998
712720158,"Existing Customer",68,"M",1,"Graduate","Married","Unknown","Blue",56,5,2,3,13860,1652,12208,1.255,1910,32,1.909,0.119,0.00017969,0.99982
712215258,"Existing Customer",50,"F",1,"Graduate","Single","$40K - $60K","Silver",31,2,2,3,18386,0,18386,0.868,1298,22,0.571,0,0.00016236,0.99984
773827008,"Existing Customer",47,"M",4,"Uneducated","Single","$60K - $80K","Blue",41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64,0.00012274,0.99988
795232683,"Existing Customer",53,"F",1,"College","Married","Less than $40K","Blue",47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432,0.0001747,0.99983
713786508,"Existing Customer",42,"F",5,"Unknown","Married","$40K - $60K","Blue",36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0,0.00034328,0.99966
713539833,"Existing Customer",48,"F",4,"High School","Single","$40K - $60K","Blue",38,6,1,3,8135,0,8135,1.373,1716,29,0.812,0,9.4447e-05,0.99991
712454058,"Existing Customer",49,"M",1,"Doctorate","Married","$120K +","Blue",38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066,0.00012583,0.99987
